time,nfev,nact,nhooked,trials,try_last
0.0,1,0,0,0,0
0.01,1,0,0,0,0
0.02,1,0,0,0,0
0.03,1,0,0,0,0
0.04,1,0,0,0,0
0.05,2,2,0,1,1
0.060000000000000005,133,2,2,0,133
0.07,184,2,2,0,184
0.08,169,4,2,1,132
0.09,885,4,4,0,885
0.09999999999999999,329,4,4,0,329
0.10999999999999999,146,4,4,0,146
0.11999999999999998,247,4,4,0,247
0.12999999999999998,259,5,4,1,85
0.13999999999999999,392,5,5,0,392
0.15,202,5,5,0,202
0.16,293,5,5,0,293
0.17,426,5,5,0,426
0.18000000000000002,392,5,5,0,392
