time,nfev,nact,nhooked,trials,try_last
0.0,1,0,0,0,0
0.01,1,0,0,0,0
0.02,1,0,0,0,0
0.03,1,0,0,0,0
0.04,1,0,0,0,0
0.05,2,2,0,1,1
0.060000000000000005,172,2,2,0,172
0.07,189,2,2,0,189
0.08,317,4,2,1,190
0.09,881,4,4,0,881
0.09999999999999999,287,4,4,0,287
0.10999999999999999,279,4,4,0,279
0.11999999999999998,534,4,4,0,534
0.12999999999999998,790,5,4,1,483
0.13999999999999999,2030,6,5,1,653
0.15,718,6,6,0,718
0.16,1794,7,6,1,1100
0.17,2231,7,7,0,2231
0.18000000000000002,2071,8,7,1,1013
0.19000000000000003,1628,8,8,0,1628
0.20000000000000004,1681,9,8,1,879
0.21000000000000005,2279,10,9,1,1085
0.22000000000000006,1160,10,10,0,1160
0.23000000000000007,985,10,10,0,985
0.24000000000000007,1902,11,10,1,982
0.25000000000000006,3644,12,11,1,1752
0.26000000000000006,1783,12,12,0,1783
0.2700000000000001,5215,13,12,1,2531
0.2800000000000001,3871,14,13,1,1930
0.2900000000000001,3747,14,14,0,3747
0.3000000000000001,1748,14,14,0,1748
0.3100000000000001,6014,15,14,1,2698
0.3200000000000001,9450,16,15,1,4086
0.3300000000000001,6080,16,16,0,6080
0.34000000000000014,2106,16,16,0,2106
0.35000000000000014,12800,18,16,1,6400
0.36000000000000015,4478,18,18,0,4478
0.37000000000000016,4246,18,18,0,4246
0.38000000000000017,10663,19,18,1,6925
0.3900000000000002,12308,20,19,1,6067
0.4000000000000002,4970,20,20,0,4970
0.4100000000000002,8000,20,20,0,8000
0.4200000000000002,8000,20,20,0,8000
0.4300000000000002,24400,21,21,2,8400
0.4400000000000002,16800,22,21,1,8400
0.45000000000000023,17201,21,21,1,8401
0.46000000000000024,8400,21,21,0,8400
0.47000000000000025,16801,23,21,1,8400
0.48000000000000026,17200,20,20,1,8000
0.49000000000000027,15600,19,19,1,7600
