Model,Layers,Neurons per Layer,Final Training Loss,Final Validation Loss,Final Training MAE,Final Validation MAE,Total Parameters
1_layers_16_neurons,1,"(16,)",0.01271173357963562,0.012442892417311668,0.08932779729366302,0.08813844621181488,81
1_layers_32_neurons,1,"(32,)",0.006583488080650568,0.006000077817589045,0.06265028566122055,0.059095803648233414,161
1_layers_64_neurons,1,"(64,)",0.0032817679457366467,0.0036337249912321568,0.044326428323984146,0.047881245613098145,321
2_layers_16_16_neurons,2,"(16, 16)",0.0037235768977552652,0.0033906283788383007,0.04739578440785408,0.04545008763670921,353
2_layers_16_32_neurons,2,"(16, 32)",0.0026990054175257683,0.0023868971038609743,0.04028049111366272,0.03766362741589546,641
2_layers_16_64_neurons,2,"(16, 64)",0.001946470234543085,0.00198253127746284,0.03393896296620369,0.03424658626317978,1217
2_layers_32_16_neurons,2,"(32, 16)",0.0023796309251338243,0.00214393250644207,0.03763411194086075,0.03534289821982384,673
2_layers_32_32_neurons,2,"(32, 32)",0.0018712040036916733,0.001924763317219913,0.03331254795193672,0.0340266190469265,1217
2_layers_32_64_neurons,2,"(32, 64)",0.0016292380169034004,0.0014265801291912794,0.030855391174554825,0.02922879345715046,2305
2_layers_64_16_neurons,2,"(64, 16)",0.0017370478017255664,0.001838180236518383,0.03204406797885895,0.03350302577018738,1313
2_layers_64_32_neurons,2,"(64, 32)",0.0015583735657855868,0.001123475725762546,0.030525218695402145,0.025599036365747452,2369
2_layers_64_64_neurons,2,"(64, 64)",0.0011970881605520844,0.001012344378978014,0.026621662080287933,0.02443840727210045,4481
3_layers_16_16_16_neurons,3,"(16, 16, 16)",0.0026741481851786375,0.0023873148020356894,0.04052872583270073,0.038159191608428955,625
3_layers_16_16_32_neurons,3,"(16, 16, 32)",0.002161517506465316,0.0018115424318239093,0.03617743030190468,0.03279852122068405,913
3_layers_16_16_64_neurons,3,"(16, 16, 64)",0.0018563594203442335,0.0015406182501465082,0.03334036096930504,0.030385872349143028,1489
3_layers_16_32_16_neurons,3,"(16, 32, 16)",0.001945548690855503,0.0015148905804380774,0.03430161625146866,0.02944466471672058,1153
3_layers_16_32_32_neurons,3,"(16, 32, 32)",0.0014268738450482488,0.0011245696805417538,0.029205143451690674,0.02564113959670067,1697
3_layers_16_32_64_neurons,3,"(16, 32, 64)",0.0013548163697123528,0.0013955775648355484,0.028602128848433495,0.029838290065526962,2785
3_layers_16_64_16_neurons,3,"(16, 64, 16)",0.0012887159828096628,0.0014254945563152432,0.027903594076633453,0.02911830134689808,2209
3_layers_16_64_32_neurons,3,"(16, 64, 32)",0.0012896368280053139,0.0008551909122616053,0.027797764167189598,0.021738752722740173,3265
3_layers_16_64_64_neurons,3,"(16, 64, 64)",0.0011480562388896942,0.0007867210078984499,0.026145122945308685,0.021247530356049538,5377
3_layers_32_16_16_neurons,3,"(32, 16, 16)",0.0021370602771639824,0.001905817654915154,0.03602130338549614,0.03388754278421402,945
3_layers_32_16_32_neurons,3,"(32, 16, 32)",0.0018982414621859789,0.002072238828986883,0.03339572250843048,0.035738568753004074,1233
3_layers_32_16_64_neurons,3,"(32, 16, 64)",0.0015396318631246686,0.0015773833729326725,0.030417993664741516,0.031340476125478745,1809
3_layers_32_32_16_neurons,3,"(32, 32, 16)",0.0014455924974754453,0.001495484379120171,0.02939153090119362,0.0303738322108984,1729
3_layers_32_32_32_neurons,3,"(32, 32, 32)",0.0012049090582877398,0.0014205505140125751,0.026855962350964546,0.02949833683669567,2273
3_layers_32_32_64_neurons,3,"(32, 32, 64)",0.001019736286252737,0.0007022546487860382,0.024695679545402527,0.020325519144535065,3361
3_layers_32_64_16_neurons,3,"(32, 64, 16)",0.0011216243728995323,0.0010111313313245773,0.025878045707941055,0.02506301738321781,3297
3_layers_32_64_32_neurons,3,"(32, 64, 32)",0.0012346860021352768,0.0011825344990938902,0.027001114562153816,0.02747463807463646,4353
3_layers_32_64_64_neurons,3,"(32, 64, 64)",0.0010075188474729657,0.0007371297688223422,0.02429712563753128,0.02094888500869274,6465
3_layers_64_16_16_neurons,3,"(64, 16, 16)",0.0015060727018862963,0.0011916320072486997,0.030004525557160378,0.026354491710662842,1585
3_layers_64_16_32_neurons,3,"(64, 16, 32)",0.001466734567657113,0.001294419402256608,0.02967403456568718,0.02729383297264576,1873
3_layers_64_16_64_neurons,3,"(64, 16, 64)",0.0013697100803256035,0.0012529551750048995,0.028525451198220253,0.02645917609333992,2449
3_layers_64_32_16_neurons,3,"(64, 32, 16)",0.0017102021956816316,0.0016378321452066302,0.03198820352554321,0.03164829686284065,2881
3_layers_64_32_32_neurons,3,"(64, 32, 32)",0.001159965293481946,0.0014032205799594522,0.02634311653673649,0.02945416420698166,3425
3_layers_64_32_64_neurons,3,"(64, 32, 64)",0.0011470424942672253,0.000682844955008477,0.02613256871700287,0.01970915123820305,4513
3_layers_64_64_16_neurons,3,"(64, 64, 16)",0.0012618303298950195,0.0010345256887376308,0.02748166210949421,0.02450629509985447,5473
3_layers_64_64_32_neurons,3,"(64, 64, 32)",0.001168166403658688,0.0008309311233460903,0.026342187076807022,0.02267618104815483,6529
3_layers_64_64_64_neurons,3,"(64, 64, 64)",0.0009679619688540697,0.0006647381815128028,0.024072427302598953,0.020119769498705864,8641
