0.8862500000000001,0,0.001630648772300242,141: out
,1,3.7775853082396794e-05,141: out
,2,0.0006312085734658503,141: out
,3,0.00016472731119512526,141: out
,4,0.0023236534148136216,141: out
,5,2.5980490647885746e-05,141: out
,6,0.000641603646558456,141: out
,7,0.00010476736113949039,141: out
,8,0.005028211378899128,141: out
,9,4.206233645259912e-05,141: out
,10,0.0010986550520073735,141: out
,11,5.118588998645646e-05,141: out
,12,0.0007261957057943516,141: out
,13,0.0003234603272197638,141: out
,14,0.002471659576714095,141: out
,15,1.1266023530132997e-05,141: out
,16,0.000861198169696573,141: out
,17,0.00021659765325768957,141: out
,18,0.0015034661108667884,141: out
,19,1.7845999743762618e-05,141: out
,,Cutback
0.8861718750000002,0,0.00040643458844569083,141: out
,1,6.623127648025518e-06,141: out
,2,1.8908823389495742e-06,141: out
,3,1.0416935563288263e-09,141: out
,4,5.797956616495488e-14,141: out
,,RedoAct,IN,OUT
0.8861718750000002,0,0.00032612129912348425
,1,1.03605823563405e-06
,2,9.612708914948551e-09
,3,8.252825667021956e-14
,,RedoAct,IN,OUT
0.8861718750000002,0,0.0002987040143180809,141: out
,1,1.4374543250872738e-06,141: out
,2,2.1819123860951002e-07,141: out
,3,1.0572595293284483e-11,141: out
,,RedoAct,IN,OUT
0.8861718750000002,0,0.0003261212672683842
,1,1.0360579205544436e-06
,2,9.612680386007463e-09
,3,5.670786387011751e-14
,,RedoAct,IN,OUT
0.8861718750000002,0,0.000298704014351484,141: out
,1,1.4374543105558955e-06,141: out
,2,2.1819123752727254e-07,141: out
,3,1.0611808253294065e-11,141: out
,,RedoAct,IN,OUT
0.8861718750000002,0,0.000326121267240689
,1,1.0360579029649233e-06
,2,9.612709000813719e-09
,3,5.057559838051899e-14
,,Cutback
0.8861328125000001,0,0.00010145513323199068,141: out
,1,5.13072357824343e-07,141: out
,2,5.946658468177904e-09,141: out
,3,2.4709463614147338e-14,141: out
,,RedoAct,IN,OUT
0.8861328125000001,0,1.709529489608198e-06
,1,2.1281418787303445e-11
,,RedoAct,IN,OUT
0.8861328125000001,0,1.7005616532048217e-06,141: out
,1,6.245821970643437e-11,141: out
,,RedoAct,IN,OUT
0.8861328125000001,0,1.7094936908251224e-06
,1,2.1253268536368114e-11
,,RedoAct,IN,OUT
0.8861328125000001,0,1.7005616853177486e-06,141: out
,1,6.24358747430994e-11,141: out
,,RedoAct,IN,OUT
0.8861328125000001,0,1.709493706777852e-06
,1,2.128423887052963e-11
,,MINIMIZATION
0.8861328125000001,"[0, 0, 0]","[0.03642750182428287, 1.9305692728283104e-05]"
,"[1, 0, 0]","[0.036427501457835534, 1.8664364783553407e-05]"
,"[1, 0, 0]","[0.03642750110391317, 1.8664364783553407e-05]"
,"[1, 1, 0]","[0.03642750043364328, 1.8038970845006383e-05]"
,"[2, 0, 0]","[0.03642749604227075, 1.4527274068521152e-05]"
,"[3, 0, 0]","[0.036427495830293935, 1.387461836707657e-05]"
,"[3, 0, 0]","[0.036427495639449976, 1.387461836707657e-05]"
,"[4, 0, 0]","[0.036427494392254844, 1.670528480540944e-05]"
,"[5, 0, 0]","[0.03642749779804066, 0.0005375979166835863]"
,"[5, 0, 0]","[0.03642749779804066, 0.0005375979166835863]"
,"[5, 0, 1]","[0.03642749513652684, 0.00026302164907375395]"
,"[5, 0, 2]","[0.03642749452473565, 0.00012595039363450346]"
,"[5, 0, 3]","[0.03642749439858144, 5.792001215059818e-05]"
,"[6, 0, 0]","[0.03642749406015261, 2.9202390778663286e-05]"
,"[7, 0, 0]","[0.03642750782170952, 0.0008860495949336122]"
,"[7, 0, 0]","[0.03642750782170952, 0.0008860495949336122]"
,"[7, 0, 1]","[0.036427497128951186, 0.00043032752769929175]"
,"[7, 0, 2]","[0.03642749464155715, 0.00020265894199725153]"
,"[7, 0, 3]","[0.036427494112606255, 8.930316524502519e-05]"
,"[8, 0, 0]","[0.03642749370199828, 6.748504677635476e-05]"
,"[9, 0, 0]","[0.03642752103726491, 0.0008226489177687867]"
,"[9, 0, 0]","[0.03642752103726491, 0.0008226489177687867]"
,"[9, 0, 1]","[0.03642749859156828, 0.0003829148192900947]"
,"[9, 0, 2]","[0.036427493952254905, 0.0001645653291427137]"
,"[10, 0, 0]","[0.036427493902397315, 0.00015831858062017608]"
,"[10, 0, 0]","[0.036427493902397315, 0.00015831858062017608]"
,"[10, 0, 1]","[0.03642749326135557, 8.183735913915965e-05]"
,"[11, 0, 0]","[0.03642749307372182, 8.181630863869712e-05]"
,"[12, 0, 0]","[0.03642749366697272, 0.0001351551113219259]"
,"[12, 0, 0]","[0.03642749366697272, 0.0001351551113219259]"
,"[13, 0, 0]","[0.03642749308427824, 8.884706392867678e-05]"
,"[13, 0, 0]","[0.03642749308427824, 8.884706392867678e-05]"
,"[14, 0, 0]","[0.036427492972175686, 7.482855627956185e-05]"
,"[14, 0, 0]","[0.036427492972175686, 7.482855627956185e-05]"
,"[15, 0, 0]","[0.036427492525181834, 2.2766320386691446e-05]"
,"[16, 0, 0]","[0.03642749329292605, 0.00013692458741890707]"
,"[16, 0, 0]","[0.03642749329292605, 0.00013692458741890707]"
,"[16, 0, 1]","[0.036427492593477336, 6.502022344715756e-05]"
,"[17, 0, 0]","[0.03642749239583903, 4.376959278033003e-05]"
,"[18, 0, 0]","[0.036427492217564895, 4.3246668727258815e-05]"
,"[19, 0, 0]","[0.03642749204233147, 1.0087793522222832e-05]"
,"[20, 0, 0]","[0.036427491943206096, 1.15489041286178e-05]"
,"[21, 0, 0]","[0.0364274918641378, 5.5063692602346634e-05]"
,"[22, 0, 0]","[0.03642749162179577, 4.836187795553337e-05]"
,"[23, 0, 0]","[0.036427491461961545, 2.1174562703050514e-05]"
,"[24, 0, 0]","[0.03642749134098745, 1.0703705846530624e-05]"
,"[25, 0, 0]","[0.036427491406823366, 4.353175440485148e-05]"
,"[25, 0, 0]","[0.036427491406823366, 4.353175440485148e-05]"
,"[26, 0, 0]","[0.03642749123305804, 1.7442764363252444e-05]"
,"[27, 0, 0]","[0.0364274911294658, 1.3656540211671816e-05]"
,"[28, 0, 0]","[0.036427491035658115, 1.0446458437879754e-05]"
,"[29, 0, 0]","[0.03642749098411259, 1.0660591105339538e-05]"
,"[30, 0, 0]","[0.03642749102604073, 3.2409302008343986e-05]"
,"[30, 0, 0]","[0.03642749102604073, 3.2409302008343986e-05]"
,"[31, 0, 0]","[0.03642749089183351, 1.071118411835703e-05]"
,"[32, 0, 0]","[0.036427490775023934, 1.3483943626243805e-05]"
,"[33, 0, 0]","[0.03642749070905305, 1.3749956246815796e-05]"
,"[34, 0, 0]","[0.03642749078340985, 3.215139365770709e-05]"
,"[34, 0, 0]","[0.03642749078340985, 3.215139365770709e-05]"
,"[35, 0, 0]","[0.036427490651857825, 4.736185660449054e-06]"
,"[36, 0, 0]","[0.03642749061991757, 7.373250988057802e-06]"
,"[37, 0, 0]","[0.03642749057378346, 1.6345235405595767e-05]"
,"[38, 0, 0]","[0.03642749060716923, 3.276769174126502e-05]"
,"[38, 0, 0]","[0.03642749060716923, 3.276769174126502e-05]"
,"[39, 0, 0]","[0.03642749049691536, 1.0737109959498245e-05]"
,"[40, 0, 0]","[0.03642749045453918, 4.807234601632574e-06]"
,"[41, 0, 0]","[0.03642749043608025, 7.107952631029302e-06]"
,"[42, 0, 0]","[0.036427490376576464, 1.1925526223197792e-05]"
,"[43, 0, 0]","[0.03642749033208201, 1.027323360641832e-05]"
,"[44, 0, 0]","[0.03642749030097586, 4.6028678005315425e-06]"
,"[45, 0, 0]","[0.036427490282902056, 3.896489180341452e-06]"
,"[46, 0, 0]","[0.03642749025772056, 8.190094790758873e-06]"
,"[47, 0, 0]","[0.03642749021896541, 1.1893328691045159e-05]"
,"[48, 0, 0]","[0.03642749017448106, 1.087638107330535e-05]"
,"[49, 0, 0]","[0.03642749014365088, 5.394134468043745e-06]"
,"[50, 0, 0]","[0.036427490125724105, 3.315270906054992e-06]"
,"[51, 0, 0]","[0.036427490107764235, 6.655008761989019e-06]"
,"[52, 0, 0]","[0.03642749008045107, 9.782335794091479e-06]"
,"[53, 0, 0]","[0.036427490048149956, 9.238138907009564e-06]"
