time,nfev,nact,nhooked,trials,try_last
0.0,1,0,0,0,0
0.01,1,0,0,0,0
0.02,1,0,0,0,0
0.03,1,0,0,0,0
0.04,1,0,0,0,0
0.05,2,2,0,1,1
0.060000000000000005,72,2,2,0,72
0.07,148,2,2,2,50
0.08,121,4,2,1,71
0.09,138,4,4,0,138
0.09999999999999999,92,4,4,0,92
0.10999999999999999,142,4,4,0,142
0.11999999999999998,148,4,4,0,148
0.12999999999999998,470,5,4,1,322
0.13999999999999999,413,6,5,1,175
0.15,357,6,6,0,357
0.16,361,6,6,0,361
0.17,848,7,7,2,259
0.18000000000000002,652,8,7,1,407
0.19000000000000003,284,8,8,0,284
0.20000000000000004,275,8,8,0,275
0.21000000000000005,869,9,9,2,409
0.22000000000000006,525,10,9,1,317
0.23000000000000007,568,10,10,0,568
0.24000000000000007,578,11,10,1,229
0.25000000000000006,626,11,11,0,626
0.26000000000000006,1026,12,11,1,639
0.2700000000000001,694,12,12,0,694
0.2800000000000001,1521,13,12,1,828
0.2900000000000001,1676,14,13,1,911
0.3000000000000001,485,14,14,0,485
0.3100000000000001,1939,15,14,1,1294
